location, PM2.5,SO4,NO3,NH4,  BC,Na,Mg,Al,  P,Cl,K,Ca,  Ti,V,Cr,Mn,  Fe,Co,Ni,Cu,  Zn,As,Se,Ag,  Cd,Sb,Ba,Ce, Pb
USMC,13064,2959,154,1157,430,54,16,57,28,35,71,100,0.9,0.6,0.9,1.3,55.8,0.02,0.2,2.1,7.3,0.29,0.29,0.49,0.05,   NaN,0.6,0.03,0.78
ARCB,9882,1073,621,339,1049,328,39,64,85,143,140,263,2.2,1.7,1.8,2.9,79.9,0.05,8.6,5.7,22.7,0.19,0.12,0.38,0.08,0.69,5.2,0.12,4.49
BDDU,47168,5695,1468,1777,4874,326,61,188,193,434,726,1058,5.5,4.6,4.1,17.2,217.3,0.13,7.5,9.7,559.7,3.1,1.27,1.03,4.52,4.36,7,0.26,161.58
CHTS,68787,9947,4370,3256,3393,752,310,436,462,505,1101,3686,18,2.1,10.7,38.1,761.8,0.48,16.6,47.2,223.4,7.35,3.84,2.02,1.23,3.42,33.8,0.89,80.24
IDBD,30875,5006,569,1395,2258,179,30,81,38,50,418,320,2.9,0.5,3,3.9,119.8,0.08,4.5,4.9,40.9,0.72,0.43,0.23,0.39,2.03,3.7,0.14,33.24
INKA,97155,12889,5181,5921,4875,355,106,146,646,248,1818,2115,6.5,2.5,1.7,10.7,161.1,0.08,6.8,11.2,186.1,10.05,2.43,1.3,1.77,1.02,6.5,0.29,133.39
NGIL,15701,1576,219,417,930,111,33,102,63,149,236,252,2.3,0.7,5.2,5.8,199.1,0.08,1.4,0.1,50.5,0.17,0.16,0.23,0.14,   NaN,1.6,0.49,7.42
PHMO,17479,2148,364,588,2500,295,28,45,87,59,248,276,2.2,2.7,0.8,4,95.6,0.03,2.6,5.6,38.8,0.51,0.81,0.04,0.32,1.3,3.6,0.04,7.11
USEM,8547,1400,218,495,902,59,11,28,66,9,48,499,1.2,0.2,2.8,0.9,51.8,0.02,0.3,3.7,6.7,0.3,0.61,0.11,0.02,0.34,4.9,0.04,1.04
VNHN,47069,8028,2787,2808,2797,1022,83,167,373,491,900,1701,8,1.6,4.8,27.6,440.8,0.14,37.2,30.8,288.5,3.49,1.14,1.85,1.54,1.81,6.3,0.24,57.65
ILNZ,15438,4150,744,1008,1210,417,71,66,66,159,160,491,2,3.2,1.2,3.4,130.4,0.05,15,6.7,30.3,0.27,0.5,0.43,0.09,1.1,5.6,0.1,5.88
USBO,6237,1312,371,561,79,161,26,19,82,18,56,298,0.9,0.1,2.2,1.4,30.8,0.02,19.3,2.2,13.5,0.52,0.41,0.45,0.11,   NaN,1.7,0.04,1.22
SGSU,29561,6607,420,1480,1525,61,38,38,46,74,462,79,1.5,19.2,1.1,5.1,83.8,0.05,39.9,3.7,30.9,0.5,0.93,0.22,0.15,0.76,3.6,0.08,3.84
ZAPR,4279,759,640,288,666,142,17,33,142,55,115,507,0.9,0.2,1.6,1.4,50.8,0.02,2.9,1.9,24.5,0.31, NaN,0.1, NaN,   NaN,3.3,0.13,0.46